,filename,measure,current_chord,next_chord,current_position,next_position
1553,163,38.5,Bm7,Dsus2/G,x.2.4.2.3.2,3.x.0.0.3.2
1554,163,39.5,Dsus2/G,Dsus2,3.x.0.0.3.2,x.5.7.7.5.5
1555,163,42.5,Bm7,G(no3),x.2.4.2.3.2,3.x.0.0.0.x
1556,163,43.5,G(no3),Dsus2,3.x.0.0.0.x,x.x.0.2.3.0
1557,163,45.0,Dsus2/E,D,x.x.2.2.3.0,x.x.0.2.3.2
1558,163,44.5,Dsus2,Dsus2/E,x.x.0.2.3.0,x.x.2.2.3.0
1559,163,45.5,D,Bm7,x.x.0.2.3.2,x.2.4.2.3.2
1560,163,47.5,D6/G,Dsus2,3.0.0.0.0.2,x.x.0.2.3.0
1561,163,50.0,Bm7,Bm,x.2.4.2.3.2,x.2.4.4.3.2
1562,163,50.5,Bm,D6/G,x.2.4.4.3.2,3.0.0.0.0.2
1563,163,51.5,D6/G,Bm,3.0.0.0.0.2,x.2.4.4.3.2
1564,163,52.5,Bm,G,x.2.4.4.3.2,3.x.0.0.0.3
1565,163,53.5,G,A6,3.x.0.0.0.3,x.0.2.2.2.2
1566,163,55.5,F#m,Bm,2.4.4.2.2.2,x.2.4.4.3.2
1567,163,22.5,Bm7,Gsus2,x.2.4.2.3.2,3.x.x.2.3.3
1568,163,90.5,Bm,Dsus2/G,x.2.4.4.3.2,3.x.0.0.3.2
1569,163,21.5,Asus4,Bm7,x.0.2.2.3.0,x.2.4.2.3.2
1570,163,19.5,Gsus2,Dsus2,3.0.0.0.3.x,x.x.0.2.3.0
1571,163,12.5,Dsus2,Dsus2/C#,x.5.7.7.5.5,x.4.x.2.3.0
1572,163,20.5,Dsus2,Asus4,x.x.0.2.3.0,x.0.2.2.3.0
1573,164,69.5,Dm,E,x.x.0.2.3.1,x.7.9.9.9.x
1574,164,77.0,E7,Am,0.2.0.1.0.0,x.0.2.2.1.0
1575,164,64.5,Am,G,x.0.2.2.1.0,3.2.0.0.3.3
1576,164,56.5,F,G,1.3.3.2.1.1,3.2.0.0.3.3
1577,164,47.5,C,Dm,x.3.2.0.1.3,x.x.0.2.3.1
1578,164,46.5,G,C,3.2.0.0.3.3,x.3.2.0.1.3
1579,164,39.5,G,C,3.2.0.0.0.3,x.3.2.0.1.0
1580,164,38.5,F,G,1.3.3.2.1.1,3.2.0.0.0.3
1581,164,20.5,Dm,Am7,x.x.0.2.3.1,x.0.2.0.1.0
1582,164,37.5,G,Am,3.2.0.0.3.3,x.0.2.2.1.0
1583,164,34.5,G,Dm,3.2.0.0.3.3,x.x.0.2.3.1
1584,164,35.0,Dm,G,x.x.0.2.3.1,3.2.0.0.3.3
1585,164,34.0,C,G,x.3.2.0.1.0,3.2.0.0.3.3
1586,164,25.5,Dm,C,x.x.0.2.3.1,x.3.2.0.1.0
1587,164,24.5,C,Dm,x.3.2.0.1.0,x.x.0.2.3.1
1588,164,23.5,G,C,3.2.0.0.3.3,x.3.2.0.1.0
1589,164,22.5,Am7,G,x.0.2.0.1.0,3.2.0.0.3.3
1590,164,21.5,Am7,Dm,x.0.2.0.1.0,x.x.0.2.3.1
1591,164,38.0,Am,F,x.0.2.2.1.0,1.3.3.2.1.1
1592,164,18.5,Dm,F,x.x.0.2.3.1,1.0.3.2.1.1
1593,164,19.5,F,Dm,1.0.3.2.1.1,x.x.0.2.3.1
1594,164,76.5,G,E7,3.2.0.0.3.3,0.2.0.1.0.0
1595,164,17.5,Fsus2,Dm,1.3.3.0.x.x,x.x.0.2.3.1
1596,164,79.5,E,C,0.2.2.1.0.0,x.3.2.0.1.0
1597,164,72.5,G,E,3.2.0.0.3.3,0.2.2.1.0.0
1598,164,73.0,E,Am,0.2.2.1.0.0,x.0.2.2.1.0
